MONTH,DEM,REP,GRN,WCP,LIB,NLM,UNAF,OTH,TOTAL
January 2023,"2,242,166","993,842","6,649","4,701","17,736",n/a,"845,262","41,200","4,151,556"
February 2023,"2,235,917","991,122","6,649","4,701","17,712",n/a,"846,926","52,713","4,144,390"
March 2023,"2,231,106","989,086","6,649","4,701","17,740",n/a,"849,352","52,859","4,140,143"
April 2023,"2,232,530","989,775","6,649","4,701","17,852",n/a,"854,800","52,984","4,147,941"
May 2023,"2,234,247","990,738","6,649","4,701","17,991",n/a,"860,307","53,107","4,156,390"
June 2023,"2,230,652","989,341","6,649","4,701","18,014",n/a,"863,163","53,081","4,154,251"
July 2023,"2,234,253","990,961","6,649","4,701","18,174",n/a,"869,557","53,318","4,166,263"
August 2023,"2,231,610","989,579","6,649","4,701","18,200",n/a,"873,437","53,363","4,166,189"
September 2023,"2,225,208","987,532","6,649","4,701","18,241",n/a,"874,653","53,368","4,159,002"
October 2023,"2,227,194","988,993","6,649","4,701","18,359",n/a,"880,671","53,608","4,168,825"
November 2023,"2,221,913","987,808","6,649","4,701","18,374",n/a,"883,376","53,622","4,165,093"
December 2023,"2,221,517","989,200","6,649","4,701","18,456",n/a,"887,739","53,777","4,170,689"
January 2024,"2,214,447","990,137",n/a,n/a,"18,490",1,"892,037","53,847","4,168,959"
February 2024,"2,207,039","991,397",n/a,n/a,"18,664",89,"900,659","54,104","4,171,952"
March 2024,"2,208,095","994,529",n/a,n/a,"18,836",234,"909,180","54,299","4,185,173"
April 2024,"2,213,294","999,776",n/a,n/a,"19,044",630,"910,224","54,355","4,197,323"
May 2024,"2,214,915","1,000,668",n/a,n/a,"19,018","1,858","907,899","54,146","4,198,504"
June 2024,"2,200,258","997,311",n/a,n/a,"18,979","2,879","902,407","53,471","4,175,305"
July 2024,"2,199,820","999,436",n/a,n/a,"19,111","4,039","902,407","52,253","4,184,617"
August 2024,"2,207,340","1,002,956","4,630",n/a,"19,225","5,032","916,588","48,669","4,204,440"
September 2024,"2,219,417","1,009,323","4,732",n/a,"19,423","6,166","923,927","48,415","4,231,403"
October 2024,"2,235,323","1,019,695","5,008",n/a,"19,594","7,380","932,287","48,123","4,267,410"
November 2024,"2,256,889","1,032,440","5,184",n/a,"19,807","7,631","943,624","48,260","4,313,835"
December 2024,"2,247,161","1,030,800","5,127",n/a,"19,674","7,929","939,527","47,496","4,297,714"
January 2025,"2,240,385","1,032,570","5,141",n/a,n/a,n/a,"942,337","75,321","4,295,754"
February 2025,"2,233,704","1,031,316","5,175","2,645",n/a,n/a,"944,876","72,442","4,290,158"
March 2025,"2,232,517","1,032,539","5,302","2,614",n/a,n/a,"953,440","72,417","4,298,829"
April 2025,"2,231,539","1,031,644","5,386","2,757",n/a,n/a,"957,228","72,267","4,300,831"
May 2025,"2,232,593","1,032,217","5,443","2,878",n/a,n/a,"962,202","72,291","4,307,624"
June 2025,"2,231,029","1,030,625","5,519","3,040",n/a,n/a,"966,045","72,100","4,308,358"
July 2025,"2,231,361","1,030,646","5,575","3,256",n/a,n/a,"971,671","71,987","4,314,496"
August 2025,"2,232,476","1,030,610","5,624","3,384",n/a,n/a,"976,110","72,074","4,320,278"
September 2025,"2,224,574","1,027,712","5,732","3,559",n/a,n/a,"977,627","71,814","4,311,018"
October 2025,"2,222,693","1,027,692","5,823","3,751",n/a,n/a,"983,016","71,840","4,314,815"
November 2025,"2,222,251","1,027,387","5,873","3,891",n/a,n/a,"986,596","71,794","4,317,792"
December 2025,"2,210,771","1,022,062","5,874","4,019",n/a,n/a,"984,920","71,246","4,298,892"
January 2026,"2,212,284","1,022,108","5,982","4,160",n/a,n/a,"990,608","71,221","4,306,309"
February 2026,"2,208,148","1,019,427","5,979","4,329",n/a,n/a,"992,794","70,977","4,301,654"
March 2026,"2,208,371","1,018,907","6,057","4,538",n/a,n/a,"998,153","70,775","4,306,801"
April 2026,"2,211,088","1,018,921","6,126","4,691",n/a,n/a,"1,003,482","70,683","4,314,991"
